=== SMELL DETAIL REPORT — Milestone 4 ===
Release  : 4.1.1
Generated: 2026-07-15
Selection: G=7, X=7 mod 5=2, case 2 (first+2 and last-2)
Ranked classes after filters: 602

================================================================================
CLASS A (rank 3, first+2):
  Path   : openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
  LOC    : 5510
  Nsmells: 1576

  #      Rule                                           Category                Lines       Message
  --------------------------------------------------------------------------------------------------------------------------------------------
  1      ExcessiveImports                               Design                  19-5510     A high number of imports can indicate a high degree of coupling within an object.
  806    LocalVariableNamingConventions                 Code Style              2926        The local variable name '_validatingLCEventManager' doesn't match '[a-z][a-zA-Z0-9]*'
  807    LocalVariableCouldBeFinal                      Code Style              2928        Local variable 'saved' could be declared final
  808    ControlStatementBraces                         Code Style              2941        This statement should have braces
  809    MethodArgumentCouldBeFinal                     Code Style              2948        Parameter 'obj' is not assigned and could be declared final
  810    MethodArgumentCouldBeFinal                     Code Style              2949        Parameter 'operation' is not assigned and could be declared final
  811    MethodArgumentCouldBeFinal                     Code Style              2955        Parameter 'objs' is not assigned and could be declared final
  812    MethodArgumentCouldBeFinal                     Code Style              2955        Parameter 'call' is not assigned and could be declared final
  813    LocalVariableCouldBeFinal                      Code Style              2959        Local variable 'itr' could be declared final
  814    CyclomaticComplexity                           Design                  2973        The method 'release(Object, OpCallbacks)' has a cyclomatic complexity of 10.
  815    MethodArgumentCouldBeFinal                     Code Style              2973        Parameter 'obj' is not assigned and could be declared final
  816    MethodArgumentCouldBeFinal                     Code Style              2973        Parameter 'call' is not assigned and could be declared final
  817    OnlyOneReturn                                  Code Style              2975        A method should have only one exit point, and that should be the last statement in the method
  818    ControlStatementBraces                         Code Style              2975        This statement should have braces
  819    ShortVariable                                  Code Style              2979        Avoid variables with short names like sm
  820    LocalVariableCouldBeFinal                      Code Style              2979        Local variable 'sm' could be declared final
  821    LocalVariableCouldBeFinal                      Code Style              2980        Local variable 'action' could be declared final
  822    ControlStatementBraces                         Code Style              2983        This statement should have braces
  823    LawOfDemeter                                   Design                  2984        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  824    LocalVariableCouldBeFinal                      Code Style              2985        Local variable 'pending' could be declared final
  825    ControlStatementBraces                         Code Style              2988        This statement should have braces
  826    AvoidRethrowingException                       Design                  2991-2993   A catch statement that catches an exception only to rethrow it should be avoided.
  827    AvoidCatchingGenericException                  Design                  2993        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  828    CognitiveComplexity                            Design                  3001        The method 'embed(Object, Object, OpenJPAStateManager, ValueMetaData)' has a cognitive complexity...
  829    CyclomaticComplexity                           Design                  3001        The method 'embed(Object, Object, OpenJPAStateManager, ValueMetaData)' has a cyclomatic complexit...
  830    MethodArgumentCouldBeFinal                     Code Style              3001        Parameter 'obj' is not assigned and could be declared final
  831    ShortVariable                                  Code Style              3001        Avoid variables with short names like id
  832    MethodArgumentCouldBeFinal                     Code Style              3002        Parameter 'owner' is not assigned and could be declared final
  833    MethodArgumentCouldBeFinal                     Code Style              3002        Parameter 'ownerMeta' is not assigned and could be declared final
  834    LocalVariableCouldBeFinal                      Code Style              3005        Local variable 'orig' could be declared final
  835    OnlyOneReturn                                  Code Style              3010        A method should have only one exit point, and that should be the last statement in the method
  836    ControlStatementBraces                         Code Style              3010        This statement should have braces
  837    LocalVariableCouldBeFinal                      Code Style              3018        Local variable 'meta' could be declared final
  838    ControlStatementBraces                         Code Style              3020        This statement should have braces
  839    AvoidReassigningParameters                     Best Practices          3023        Avoid reassigning parameters such as 'id'
  840    ControlStatementBraces                         Code Style              3023        This statement should have braces
  841    ShortVariable                                  Code Style              3025        Avoid variables with short names like sm
  842    LocalVariableCouldBeFinal                      Code Style              3025        Local variable 'sm' could be declared final
  843    LocalVariableCouldBeFinal                      Code Style              3028        Local variable 'copy' could be declared final
  844    LocalVariableCouldBeFinal                      Code Style              3029        Local variable 'state' could be declared final
  845    LocalVariableCouldBeFinal                      Code Style              3030        Local variable 'type' could be declared final
  846    LocalVariableCouldBeFinal                      Code Style              3034        Local variable 'copySM' could be declared final
  847    ShortVariable                                  Code Style              3035        Avoid variables with short names like pc
  848    LocalVariableCouldBeFinal                      Code Style              3035        Local variable 'pc' could be declared final
  849    LocalVariableCouldBeFinal                      Code Style              3050        Local variable 'fields' could be declared final
  850    LawOfDemeter                                   Design                  3050        Access to field `length` on foreign value `meta.getFields()` (degree 1)
  851    ControlStatementBraces                         Code Style              3051-3052   This statement should have braces
  852    LawOfDemeter                                   Design                  3054        Access to field `ECOPY` on foreign value `PCState` (degree 1)
  853    ControlStatementBraces                         Code Style              3060        This statement should have braces
  854    ConfusingTernary                               Code Style              3064-3067   Avoid if (x != y) ..; else ..;
  855    ControlStatementBraces                         Code Style              3065        This statement should have braces
  856    LawOfDemeter                                   Design                  3065        Access to field `ECLEAN` on foreign value `PCState` (degree 1)
  857    ControlStatementBraces                         Code Style              3067        This statement should have braces
  858    LawOfDemeter                                   Design                  3067        Access to field `ENONTRANS` on foreign value `PCState` (degree 1)
  859    AvoidRethrowingException                       Design                  3072-3074   A catch statement that catches an exception only to rethrow it should be avoided.
  860    AvoidCatchingGenericException                  Design                  3074        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  861    CommentDefaultAccessModifier                   Code Style              3085        Missing commented default access modifier on method 'copy(OpenJPAStateManager, PCState)'
  862    MethodArgumentCouldBeFinal                     Code Style              3085        Parameter 'copy' is not assigned and could be declared final
  863    MethodArgumentCouldBeFinal                     Code Style              3085        Parameter 'state' is not assigned and could be declared final
  864    LocalVariableCouldBeFinal                      Code Style              3089        Local variable 'oid' could be declared final
  865    PrematureDeclaration                           Code Style              3090        Declaration of 'type' can be moved closer to its usages
  866    LocalVariableCouldBeFinal                      Code Style              3090        Local variable 'type' could be declared final
  867    ControlStatementBraces                         Code Style              3092        This statement should have braces
  868    ShortVariable                                  Code Style              3094        Avoid variables with short names like sm
  869    ControlStatementBraces                         Code Style              3096        This statement should have braces
  870    LocalVariableCouldBeFinal                      Code Style              3098        Local variable 'repos' could be declared final
  871    LocalVariableCouldBeFinal                      Code Style              3100        Local variable 'meta' could be declared final
  872    MethodArgumentCouldBeFinal                     Code Style              3113        Parameter 'objs' is not assigned and could be declared final
  873    MethodArgumentCouldBeFinal                     Code Style              3113        Parameter 'call' is not assigned and could be declared final
  874    OnlyOneReturn                                  Code Style              3115        A method should have only one exit point, and that should be the last statement in the method
  875    ControlStatementBraces                         Code Style              3115        This statement should have braces
  876    LocalVariableCouldBeFinal                      Code Style              3121        Local variable 'obj' could be declared final
  877    ControlStatementBraces                         Code Style              3125        This statement should have braces
  878    AvoidLiteralsInIfCondition                     Error Prone             3126        Avoid using literals in if statements
  879    ControlStatementBraces                         Code Style              3127        This statement should have braces
  880    ControlStatementBraces                         Code Style              3129        This statement should have braces
  881    MethodArgumentCouldBeFinal                     Code Style              3136        Parameter 'obj' is not assigned and could be declared final
  882    MethodArgumentCouldBeFinal                     Code Style              3136        Parameter 'call' is not assigned and could be declared final
  883    OnlyOneReturn                                  Code Style              3138        A method should have only one exit point, and that should be the last statement in the method
  884    ControlStatementBraces                         Code Style              3138        This statement should have braces
  885    ControlStatementBraces                         Code Style              3146        This statement should have braces
  886    AvoidLiteralsInIfCondition                     Error Prone             3147        Avoid using literals in if statements
  887    ControlStatementBraces                         Code Style              3148        This statement should have braces
  888    ControlStatementBraces                         Code Style              3150        This statement should have braces
  889    CommentDefaultAccessModifier                   Code Style              3160        Missing commented default access modifier on method 'gatherCascadeRefresh(Object, OpCallbacks)'
  890    MethodArgumentCouldBeFinal                     Code Style              3160        Parameter 'obj' is not assigned and could be declared final
  891    MethodArgumentCouldBeFinal                     Code Style              3160        Parameter 'call' is not assigned and could be declared final
  892    OnlyOneReturn                                  Code Style              3162        A method should have only one exit point, and that should be the last statement in the method
  893    ControlStatementBraces                         Code Style              3162        This statement should have braces
  894    OnlyOneReturn                                  Code Style              3164        A method should have only one exit point, and that should be the last statement in the method
  895    ControlStatementBraces                         Code Style              3164        This statement should have braces
  896    ShortVariable                                  Code Style              3166        Avoid variables with short names like sm
  897    LocalVariableCouldBeFinal                      Code Style              3166        Local variable 'sm' could be declared final
  898    LocalVariableCouldBeFinal                      Code Style              3167        Local variable 'action' could be declared final
  899    LawOfDemeter                                   Design                  3168        Access to field `ACT_CASCADE` on foreign value `OpCallbacks` (degree 1)
  900    ControlStatementBraces                         Code Style              3169        This statement should have braces
  901    ControlStatementBraces                         Code Style              3172        This statement should have braces
  902    ControlStatementBraces                         Code Style              3174        This statement should have braces
  903    AvoidDuplicateLiterals                         Error Prone             3174        The String literal "refresh" appears 5 times in this file; the first occurrence is on line 3,174
  904    CognitiveComplexity                            Design                  3181        The method 'refreshInternal(Collection, OpCallbacks)' has a cognitive complexity of 41, current t...
  905    CyclomaticComplexity                           Design                  3181        The method 'refreshInternal(Collection, OpCallbacks)' has a cyclomatic complexity of 29.
  906    NPathComplexity                                Design                  3181        The method 'refreshInternal(Collection, OpCallbacks)' has an NPath complexity of 8916, current th...
  907    LooseCoupling                                  Best Practices          3181        Avoid using implementation types like 'Collection'; use the interface instead
  908    MethodArgumentCouldBeFinal                     Code Style              3181        Parameter 'objs' is not assigned and could be declared final
  909    MethodArgumentCouldBeFinal                     Code Style              3181        Parameter 'call' is not assigned and could be declared final
  910    ControlStatementBraces                         Code Style              3183        This statement should have braces
  911    LooseCoupling                                  Best Practices          3187        Avoid using implementation types like 'Collection'; use the interface instead
  912    ShortVariable                                  Code Style              3188        Avoid variables with short names like sm
  913    LocalVariableCouldBeFinal                      Code Style              3190        Local variable 'o' could be declared final
  914    ControlStatementBraces                         Code Style              3193        This statement should have braces
  915    LawOfDemeter                                   Design                  3198        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  916    ControlStatementBraces                         Code Style              3199        This statement should have braces
  917    ControlStatementBraces                         Code Style              3203        This statement should have braces
  918    ControlStatementBraces                         Code Style              3206        This statement should have braces
  919    LocalVariableCouldBeFinal                      Code Style              3209        Local variable 'level' could be declared final
  920    LocalVariableCouldBeFinal                      Code Style              3210        Local variable 'timeout' could be declared final
  921    ControlStatementBraces                         Code Style              3216        This statement should have braces
  922    ExceptionAsFlowControl                         Design                  3218-3220   Exception thrown at line 3,203 is caught in this block.
  923    ExceptionAsFlowControl                         Design                  3218-3220   Exception thrown at line 3,216 is caught in this block.
  924    LooseCoupling                                  Best Practices          3225        Avoid using implementation types like 'Collection'; use the interface instead
  925    LocalVariableCouldBeFinal                      Code Style              3225        Local variable 'failed' could be declared final
  926    ControlStatementBraces                         Code Style              3228        This statement should have braces
  927    LongVariable                                   Code Style              3232        Avoid excessively long variable names like openJPAStateManager
  928    LocalVariableCouldBeFinal                      Code Style              3232        Local variable 'openJPAStateManager' could be declared final
  929    ControlStatementBraces                         Code Style              3235        This statement should have braces
  930    LocalVariableCouldBeFinal                      Code Style              3249        Local variable 'itr' could be declared final
  931    ControlStatementBraces                         Code Style              3253-3254   This statement should have braces
  932    AvoidRethrowingException                       Design                  3259-3261   A catch statement that catches an exception only to rethrow it should be avoided.
  933    AvoidCatchingGenericException                  Design                  3261        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  934    CyclomaticComplexity                           Design                  3270        The method 'refreshInternal(Object, OpCallbacks)' has a cyclomatic complexity of 12.
  935    MethodArgumentCouldBeFinal                     Code Style              3270        Parameter 'obj' is not assigned and could be declared final
  936    MethodArgumentCouldBeFinal                     Code Style              3270        Parameter 'call' is not assigned and could be declared final
  937    ShortVariable                                  Code Style              3272        Avoid variables with short names like sm
  938    LocalVariableCouldBeFinal                      Code Style              3272        Local variable 'sm' could be declared final
  939    LawOfDemeter                                   Design                  3274        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  940    ControlStatementBraces                         Code Style              3275        This statement should have braces
  941    ControlStatementBraces                         Code Style              3279        This statement should have braces
  942    LocalVariableCouldBeFinal                      Code Style              3284        Local variable 'level' could be declared final
  943    LocalVariableCouldBeFinal                      Code Style              3285        Local variable 'timeout' could be declared final
  944    ControlStatementBraces                         Code Style              3292        This statement should have braces
  945    AvoidRethrowingException                       Design                  3293-3295   A catch statement that catches an exception only to rethrow it should be avoided.
  946    AvoidCatchingGenericException                  Design                  3295        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  947    CognitiveComplexity                            Design                  3302        The method 'retrieveAll(Collection, boolean, OpCallbacks)' has a cognitive complexity of 44, curr...
  948    CyclomaticComplexity                           Design                  3302        The method 'retrieveAll(Collection, boolean, OpCallbacks)' has a cyclomatic complexity of 29.
  949    NPathComplexity                                Design                  3302        The method 'retrieveAll(Collection, boolean, OpCallbacks)' has an NPath complexity of 23496, curr...
  950    MethodArgumentCouldBeFinal                     Code Style              3302        Parameter 'objs' is not assigned and could be declared final
  951    MethodArgumentCouldBeFinal                     Code Style              3302        Parameter 'dfgOnly' is not assigned and could be declared final
  952    MethodArgumentCouldBeFinal                     Code Style              3303        Parameter 'call' is not assigned and could be declared final
  953    OnlyOneReturn                                  Code Style              3305        A method should have only one exit point, and that should be the last statement in the method
  954    ControlStatementBraces                         Code Style              3305        This statement should have braces
  955    AvoidLiteralsInIfCondition                     Error Prone             3306        Avoid using literals in if statements
  956    LooseCoupling                                  Best Practices          3319        Avoid using implementation types like 'Collection'; use the interface instead
  957    ShortVariable                                  Code Style              3320        Avoid variables with short names like sm
  958    LooseCoupling                                  Best Practices          3321        Avoid using implementation types like 'Collection'; use the interface instead
  959    LocalVariableCouldBeFinal                      Code Style              3321        Local variable 'sms' could be declared final
  960    LocalVariableCouldBeFinal                      Code Style              3322        Local variable 'o' could be declared final
  961    ControlStatementBraces                         Code Style              3325        This statement should have braces
  962    LawOfDemeter                                   Design                  3330        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  963    ControlStatementBraces                         Code Style              3331        This statement should have braces
  964    ControlStatementBraces                         Code Style              3335        This statement should have braces
  965    AvoidDuplicateLiterals                         Error Prone             3335        The String literal "retrieve" appears 4 times in this file; the first occurrence is on line 3,335
  966    LawOfDemeter                                   Design                  3338        Access to field `HOLLOW` on foreign value `PCState` (degree 1)
  967    ControlStatementBraces                         Code Style              3340        This statement should have braces
  968    ControlStatementBraces                         Code Style              3347        This statement should have braces
  969    ExceptionAsFlowControl                         Design                  3349-3351   Exception thrown at line 3,335 is caught in this block.
  970    ExceptionAsFlowControl                         Design                  3349-3351   Exception thrown at line 3,347 is caught in this block.
  971    LooseCoupling                                  Best Practices          3355        Avoid using implementation types like 'Collection'; use the interface instead
  972    LocalVariableCouldBeFinal                      Code Style              3357        Local variable 'mode' could be declared final
  973    UselessParentheses                             Code Style              3357        Useless parentheses.
  974    ControlStatementBraces                         Code Style              3361        This statement should have braces
  975    LocalVariableCouldBeFinal                      Code Style              3365        Local variable 'stateManager' could be declared final
  976    ControlStatementBraces                         Code Style              3368        This statement should have braces
  977    LocalVariableCouldBeFinal                      Code Style              3370        Local variable 'mode' could be declared final
  978    UselessParentheses                             Code Style              3370        Useless parentheses.
  979    AvoidRethrowingException                       Design                  3380-3382   A catch statement that catches an exception only to rethrow it should be avoided.
  980    AvoidCatchingGenericException                  Design                  3382        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  981    CyclomaticComplexity                           Design                  3391        The method 'retrieve(Object, boolean, OpCallbacks)' has a cyclomatic complexity of 14.
  982    MethodArgumentCouldBeFinal                     Code Style              3391        Parameter 'obj' is not assigned and could be declared final
  983    MethodArgumentCouldBeFinal                     Code Style              3391        Parameter 'dfgOnly' is not assigned and could be declared final
  984    MethodArgumentCouldBeFinal                     Code Style              3391        Parameter 'call' is not assigned and could be declared final
  985    OnlyOneReturn                                  Code Style              3393        A method should have only one exit point, and that should be the last statement in the method
  986    ControlStatementBraces                         Code Style              3393        This statement should have braces
  987    ShortVariable                                  Code Style              3400        Avoid variables with short names like sm
  988    LocalVariableCouldBeFinal                      Code Style              3400        Local variable 'sm' could be declared final
  989    LawOfDemeter                                   Design                  3402        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  990    ControlStatementBraces                         Code Style              3403        This statement should have braces
  991    ControlStatementBraces                         Code Style              3407        This statement should have braces
  992    LocalVariableCouldBeFinal                      Code Style              3409        Local variable 'mode' could be declared final
  993    UselessParentheses                             Code Style              3409        Useless parentheses.
  994    ControlStatementBraces                         Code Style              3416        This statement should have braces
  995    AvoidRethrowingException                       Design                  3417-3419   A catch statement that catches an exception only to rethrow it should be avoided.
  996    AvoidCatchingGenericException                  Design                  3419        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  997    MethodArgumentCouldBeFinal                     Code Style              3427        Parameter 'call' is not assigned and could be declared final
  998    LooseCoupling                                  Best Practices          3431        Avoid using implementation types like 'Collection'; use the interface instead
  999    ShortVariable                                  Code Style              3431        Avoid variables with short names like c
  1000   LocalVariableCouldBeFinal                      Code Style              3431        Local variable 'c' could be declared final
  1001   ShortVariable                                  Code Style              3432        Avoid variables with short names like sm
  1002   LocalVariableCouldBeFinal                      Code Style              3433        Local variable 'stateManager' could be declared final
  1003   ControlStatementBraces                         Code Style              3436        This statement should have braces
  1004   MethodArgumentCouldBeFinal                     Code Style              3445        Parameter 'objs' is not assigned and could be declared final
  1005   MethodArgumentCouldBeFinal                     Code Style              3445        Parameter 'call' is not assigned and could be declared final
  1006   LocalVariableCouldBeFinal                      Code Style              3449        Local variable 'itr' could be declared final
  1007   MethodArgumentCouldBeFinal                     Code Style              3463        Parameter 'extent' is not assigned and could be declared final
  1008   MethodArgumentCouldBeFinal                     Code Style              3463        Parameter 'call' is not assigned and could be declared final
  1009   ControlStatementBraces                         Code Style              3465        This statement should have braces
  1010   LooseCoupling                                  Best Practices          3470        Avoid using implementation types like 'Collection'; use the interface instead
  1011   ShortVariable                                  Code Style              3470        Avoid variables with short names like c
  1012   LocalVariableCouldBeFinal                      Code Style              3470        Local variable 'c' could be declared final
  1013   ShortVariable                                  Code Style              3471        Avoid variables with short names like sm
  1014   LocalVariableCouldBeFinal                      Code Style              3473        Local variable 'stateManager' could be declared final
  1015   ControlStatementBraces                         Code Style              3480        This statement should have braces
  1016   CyclomaticComplexity                           Design                  3489        The method 'evict(Object, OpCallbacks)' has a cyclomatic complexity of 11.
  1017   MethodArgumentCouldBeFinal                     Code Style              3489        Parameter 'obj' is not assigned and could be declared final
  1018   MethodArgumentCouldBeFinal                     Code Style              3489        Parameter 'call' is not assigned and could be declared final
  1019   OnlyOneReturn                                  Code Style              3491        A method should have only one exit point, and that should be the last statement in the method
  1020   ControlStatementBraces                         Code Style              3491        This statement should have braces
  1021   ShortVariable                                  Code Style              3495        Avoid variables with short names like sm
  1022   LocalVariableCouldBeFinal                      Code Style              3495        Local variable 'sm' could be declared final
  1023   LawOfDemeter                                   Design                  3497        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  1024   OnlyOneReturn                                  Code Style              3498        A method should have only one exit point, and that should be the last statement in the method
  1025   ControlStatementBraces                         Code Style              3498        This statement should have braces
  1026   ControlStatementBraces                         Code Style              3500        This statement should have braces
  1027   LocalVariableCouldBeFinal                      Code Style              3504        Local variable 'cache' could be declared final
  1028   ControlStatementBraces                         Code Style              3506        This statement should have braces
  1029   AvoidRethrowingException                       Design                  3509-3511   A catch statement that catches an exception only to rethrow it should be avoided.
  1030   AvoidCatchingGenericException                  Design                  3511        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1031   MethodArgumentCouldBeFinal                     Code Style              3519        Parameter 'obj' is not assigned and could be declared final
  1032   OnlyOneReturn                                  Code Style              3521        A method should have only one exit point, and that should be the last statement in the method
  1033   ControlStatementBraces                         Code Style              3521        This statement should have braces
  1034   AvoidReassigningParameters                     Best Practices          3523        Avoid reassigning parameters such as 'call'
  1035   ControlStatementBraces                         Code Style              3523        This statement should have braces
  1036   AvoidRethrowingException                       Design                  3528-3530   A catch statement that catches an exception only to rethrow it should be avoided.
  1037   AvoidCatchingGenericException                  Design                  3530        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1038   MethodArgumentCouldBeFinal                     Code Style              3538        Parameter 'objs' is not assigned and could be declared final
  1039   OnlyOneReturn                                  Code Style              3540        A method should have only one exit point, and that should be the last statement in the method
  1040   ControlStatementBraces                         Code Style              3540        This statement should have braces
  1041   ReturnEmptyCollectionRatherThanNull            Error Prone             3540        Return an empty collection rather than null.
  1042   OnlyOneReturn                                  Code Style              3542        A method should have only one exit point, and that should be the last statement in the method
  1043   ControlStatementBraces                         Code Style              3542        This statement should have braces
  1044   AvoidReassigningParameters                     Best Practices          3544        Avoid reassigning parameters such as 'call'
  1045   ControlStatementBraces                         Code Style              3544        This statement should have braces
  1046   AvoidRethrowingException                       Design                  3549-3551   A catch statement that catches an exception only to rethrow it should be avoided.
  1047   AvoidCatchingGenericException                  Design                  3551        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1048   MethodArgumentCouldBeFinal                     Code Style              3559        Parameter 'call' is not assigned and could be declared final
  1049   MethodArgumentCouldBeFinal                     Code Style              3564        Parameter 'call' is not assigned and could be declared final
  1050   MethodArgumentCouldBeFinal                     Code Style              3564        Parameter 'flush' is not assigned and could be declared final
  1051   ControlStatementBraces                         Code Style              3570        This statement should have braces
  1052   AvoidRethrowingException                       Design                  3572-3574   A catch statement that catches an exception only to rethrow it should be avoided.
  1053   AvoidCatchingGenericException                  Design                  3574        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1054   OnlyOneReturn                                  Code Style              3584        A method should have only one exit point, and that should be the last statement in the method
  1055   LooseCoupling                                  Best Practices          3586        Avoid using implementation types like 'Collection'; use the interface instead
  1056   LocalVariableCouldBeFinal                      Code Style              3586        Local variable 'states' could be declared final
  1057   ShortVariable                                  Code Style              3587        Avoid variables with short names like sm
  1058   LocalVariableCouldBeFinal                      Code Style              3588        Local variable 'itr' could be declared final
  1059   ConfusingTernary                               Code Style              3590-3595   Avoid if (x != y) ..; else ..;
  1060   ControlStatementBraces                         Code Style              3591        This statement should have braces
  1061   ControlStatementBraces                         Code Style              3598        This statement should have braces
  1062   AvoidReassigningParameters                     Best Practices          3601        Avoid reassigning parameters such as 'call'
  1063   ControlStatementBraces                         Code Style              3601        This statement should have braces
  1064   LocalVariableCouldBeFinal                      Code Style              3604        Local variable 'origCascade' could be declared final
  1065   LocalVariableCouldBeFinal                      Code Style              3616        Local variable 'old' could be declared final
  1066   LooseCoupling                                  Best Practices          3619        Avoid using implementation types like 'Collection'; use the interface instead
  1067   LocalVariableCouldBeFinal                      Code Style              3619        Local variable 'states' could be declared final
  1068   NullAssignment                                 Error Prone             3629        Assigning an Object to null is a code smell.  Consider refactoring.
  1069   MethodArgumentCouldBeFinal                     Code Style              3637        Parameter 'obj' is not assigned and could be declared final
  1070   MethodArgumentCouldBeFinal                     Code Style              3637        Parameter 'copyNew' is not assigned and could be declared final
  1071   MethodArgumentCouldBeFinal                     Code Style              3637        Parameter 'call' is not assigned and could be declared final
  1072   OnlyOneReturn                                  Code Style              3639        A method should have only one exit point, and that should be the last statement in the method
  1073   ControlStatementBraces                         Code Style              3639        This statement should have braces
  1074   PreserveStackTrace                             Best Practices          3649        Thrown exception does not preserve the stack trace of exception 'oe' on all code paths
  1075   AvoidRethrowingException                       Design                  3650-3652   A catch statement that catches an exception only to rethrow it should be avoided.
  1076   AvoidCatchingGenericException                  Design                  3652        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1077   MethodArgumentCouldBeFinal                     Code Style              3662        Parameter 'objs' is not assigned and could be declared final
  1078   MethodArgumentCouldBeFinal                     Code Style              3662        Parameter 'copyNew' is not assigned and could be declared final
  1079   MethodArgumentCouldBeFinal                     Code Style              3663        Parameter 'call' is not assigned and could be declared final
  1080   OnlyOneReturn                                  Code Style              3665        A method should have only one exit point, and that should be the last statement in the method
  1081   ControlStatementBraces                         Code Style              3665        This statement should have braces
  1082   ReturnEmptyCollectionRatherThanNull            Error Prone             3665        Return an empty collection rather than null.
  1083   OnlyOneReturn                                  Code Style              3667        A method should have only one exit point, and that should be the last statement in the method
  1084   ControlStatementBraces                         Code Style              3667        This statement should have braces
  1085   PreserveStackTrace                             Best Practices          3677        Thrown exception does not preserve the stack trace of exception 'oe' on all code paths
  1086   AvoidRethrowingException                       Design                  3678-3680   A catch statement that catches an exception only to rethrow it should be avoided.
  1087   AvoidCatchingGenericException                  Design                  3680        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1088   MethodArgumentCouldBeFinal                     Code Style              3690        Parameter 'objs' is not assigned and could be declared final
  1089   MethodArgumentCouldBeFinal                     Code Style              3690        Parameter 'call' is not assigned and could be declared final
  1090   LocalVariableCouldBeFinal                      Code Style              3694        Local variable 'itr' could be declared final
  1091   MethodArgumentCouldBeFinal                     Code Style              3708        Parameter 'obj' is not assigned and could be declared final
  1092   MethodArgumentCouldBeFinal                     Code Style              3708        Parameter 'call' is not assigned and could be declared final
  1093   OnlyOneReturn                                  Code Style              3710        A method should have only one exit point, and that should be the last statement in the method
  1094   ControlStatementBraces                         Code Style              3710        This statement should have braces
  1095   ShortVariable                                  Code Style              3714        Avoid variables with short names like sm
  1096   LocalVariableCouldBeFinal                      Code Style              3714        Local variable 'sm' could be declared final
  1097   LawOfDemeter                                   Design                  3716        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  1098   ControlStatementBraces                         Code Style              3717        This statement should have braces
  1099   ControlStatementBraces                         Code Style              3719        This statement should have braces
  1100   AvoidRethrowingException                       Design                  3720-3722   A catch statement that catches an exception only to rethrow it should be avoided.
  1101   AvoidCatchingGenericException                  Design                  3722        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  1102   CognitiveComplexity                            Design                  3733        The method 'transactionalAll(Collection, boolean, OpCallbacks)' has a cognitive complexity of 28,...
  1103   CyclomaticComplexity                           Design                  3733        The method 'transactionalAll(Collection, boolean, OpCallbacks)' has a cyclomatic complexity of 19.
  1104   NPathComplexity                                Design                  3733        The method 'transactionalAll(Collection, boolean, OpCallbacks)' has an NPath complexity of 572, c...
  1105   MethodArgumentCouldBeFinal                     Code Style              3733        Parameter 'objs' is not assigned and could be declared final
  1106   MethodArgumentCouldBeFinal                     Code Style              3733        Parameter 'updateVersion' is not assigned and could be declared final
